CHE,40.5200805,-107.3049000,14.00
CHE,42.6999027,141.6861666,-10.00
CHF,42.1900000,118.8116666,-9.00
CHG,30.6822222,76.7667500,2.00
CHG,41.5366666,120.4333333,-8.00
CHI,28.3475250,76.6663194,1.00
CHI,-36.5863888,-72.0327777,4.00
CHI,45.0710833,12.2814444,3.00
CHI,39.2666666,122.6166666,-8.00
CHJ,36.7100000,127.4950000,-6.90
CHO,36.7180277,127.4940833,-9.00
CHP,-40.0489722,-71.0952527,6.00
CHS,32.8943194,-80.0378138,-5.00
CHW,48.4800000,0.9870555,-1.60
CHX,46.8711944,1.7418611,1.00
CIA,-15.6560833,-56.1120277,-19.00
CIA,10.1505000,76.3725833,-2.00
CIA,15.1868888,120.5606388,-3.00
CIB,10.1168888,76.6805833,-2.00
CID,41.8875472,-91.7857500,5.00
CIG,38.4949444,27.0090555,5.00
CIJ,-11.0552777,-68.7858333,-10.00
CIM,36.4913972,-104.8720000,13.00
CIN,-17.5887777,123.8520000,2.00
CIT,27.0882888,142.2188277,-5.00
CIV,50.5738888,3.8327777,1.00
CJN,11.2313888,-72.4930555,-10.00
CJS,31.6361555,-106.4268472,10.00
CJU,33.3846111,126.6241111,-7.00
CKB,39.2532166,-80.2678611,-4.00
CKG,29.7466666,106.6533333,-3.00
CKG,-6.1878888,106.5299500,1.00
CKH,21.2651111,-157.7029805,11.00
CKR,36.8842222,35.0682500,6.00
CKV,36.6219861,-87.4126583,-1.00
CKW,41.7557083,-107.5819833,15.00
CLA,15.4200833,108.6911111,-1.00
CLA,-6.7171388,-79.8191388,-2.00
CLC,11.1341666,75.9565833,-2.00
CLD,37.8146388,27.8963888,5.00
CLE,41.6400277,2.6346944,1.00
CLF,36.2134166,1.3221944,1.00
CLI,42.5181388,8.7930277,1.20
CLJ,46.8001666,23.7872500,5.00
CLL,45.1938055,7.6528333,2.00
CLL,30.6050027,-96.4206805,8.00
CLM,48.8446388,3.0138611,1.00
CLN,51.8484722,1.1475888,1.00
CLO,3.4008472,-76.4064833,-6.00
CLS,39.7071666,-0.9863333,1.00
CLT,35.1902888,-80.9517527,-5.00
CLU,41.1464444,27.9263055,5.00
CMA,34.2125222,-119.0943555,15.00
CMA,40.8673055,-1.2980555,1.00
CMA,6.2502500,-62.8575555,-15.00
CMA,18.7661388,98.9612222,-1.00
CME,18.6604388,-91.8051472,1.00
CME,33.3374750,-104.6212444,12.00
CMI,40.0345305,-88.2760750,3.00
CMK,41.2800888,-73.5813277,-12.00
CML,23.4333333,91.1902500,-1.00
CMP,52.1333333,16.7191666,5.00
CMP,42.1238333,12.3815277,3.00
CMP,16.6352777,101.9888888,1.00
CMX,47.1702611,-88.4853916,-2.00
CND,44.2855555,28.4783333,7.00
CNF,-19.5582138,-44.0485138,-23.00
CNG,37.0086083,-88.8369138,3.00
CNI,13.0043055,80.1661111,-2.00
CNK,40.1344722,26.4265555,6.00
CNM,32.2566138,-104.2260388,12.00
CNM,43.5603611,6.8709444,2.00
CNX,34.3670166,-105.6780055,13.00
COA,51.3480555,3.3552777,1.00
COA,-29.9501388,-51.1459583,-17.00
COD,44.6204527,-108.9649166,14.00
COE,47.7736972,-116.8205888,19.00
COF,28.2376833,-80.6117583,-7.00
COK,45.9012083,15.5204777,5.00
COL,40.3116305,-74.1597277,-11.00
COL,50.7835277,7.5941750,2.00
COL,19.2751277,-103.5790055,8.00
COM,36.9850833,14.5946388,2.00
CON,23.5883333,113.5866666,-3.00
CON,53.9080277,-8.8201111,-2.00
CON,43.2197861,-71.5754527,-15.00
COT,28.4620166,-99.1185444,9.00
COT,7.1675361,124.2091083,1.00
COV,-0.4449444,-76.9956666,-5.00
COY,17.7345027,-64.7007527,-10.00
CPE,19.8308333,-90.5039444,1.00
CPN,46.0320000,-112.7475277,16.00
CQY,32.1857222,-96.2181027,6.00
CRA,11.9945277,109.2199722,-1.00
CRD,37.7899722,29.7040277,5.00
CRE,33.8138416,-78.7245222,-3.00
CRG,30.3388805,-81.5099277,-3.00
CRI,40.6124694,-73.8944638,-11.00
CRK,51.8406083,-8.4942694,-3.00
CRL,42.0480277,-83.4575722,-3.00
CRL,41.1507500,27.9350277,5.00
CRL,27.7208472,-107.6401888,9.00
CRM,41.2655000,36.5488611,5.00
CRN,38.9961111,17.0830555,4.00
CRO,11.4111388,-69.6939722,-11.00
CRP,27.9037666,-97.4448805,9.00
CRR,-34.8327222,-56.0251388,-11.00
CRS,-27.4372777,-58.7617777,-14.00
CRV,44.3186111,23.9227500,5.00
CRV,-45.7733055,-67.3715555,5.00
CS,-16.8500277,145.7438888,7.00
CSG,32.6152527,-85.0176277,1.00
CSI,29.9223555,-99.2144861,8.00
CSL,45.2197222,7.6495555,2.00
CSL,22.9469361,-109.9318888,8.00
CSN,38.6412027,-77.8655000,-6.00
CSO,36.2932638,6.6083222,2.00
CSS,23.5300000,116.4833333,-4.00
CTB,48.5649472,-112.3432555,17.00
CTB,-25.5320305,-49.1676638,-20.00
CTF,37.4644444,15.0622777,4.00
CTF,34.6504972,-80.2749166,-3.00
CTG,22.2577500,91.8275000,-1.00
CTG,10.2083333,-75.5061111,-8.00
CTM,18.5092972,-88.3336527,-1.00
CTN,7.5166666,-71.4459166,-10.00
CTN,37.4645555,15.0583888,0.20
CTN,40.2188055,0.0891944,2.00
CTP,40.7374722,30.0713611,5.00
CTR,19.9488611,99.8831388,-1.00
CTR,42.2913194,-72.9493944,-13.00
